	2016	2017	2018	2019	2020	2021	2022	2023	2024	2025	2026	2027	2028	2029	2030	2031	2032	2033	2034	2035	2036	2037	2038	2039	2040	2041	2042	2043	2044	2045	2046	2047	2048	2049	2050	
[AUT]	171.73	169.49	167.09	164.57	161.94	159.03	155.89	152.55	149.03	145.44	141.74	137.96	134.13	130.26	126.45	122.24	118.13	114.11	110.20	106.42	102.75	99.18	95.73	92.39	89.16	86.00	82.90	79.87	76.89	73.98	71.13	68.35	65.61	62.92	60.29	
[ESO]	190.42	186.86	183.26	179.72	176.26	172.32	168.32	164.29	160.23	156.22	152.18	148.15	144.12	140.11	136.19	131.96	127.78	123.67	119.62	115.67	111.83	108.09	104.45	100.92	97.48	94.18	90.96	87.83	84.79	81.83	78.95	76.11	73.33	70.59	67.90	
[LAT]	182.41	178.11	174.26	170.59	167.10	163.56	160.08	156.66	153.29	150.00	146.72	143.42	140.09	136.74	133.40	129.36	125.27	121.15	117.01	112.89	108.78	104.72	100.74	96.85	93.06	89.43	85.91	82.51	79.23	76.07	72.99	69.97	67.02	64.13	61.30	
[LTH]	180.83	176.92	172.93	169.04	165.30	161.57	157.95	154.48	151.18	148.06	145.03	142.03	139.02	135.95	132.79	128.81	124.65	120.33	115.90	111.41	106.89	102.39	97.97	93.64	89.45	85.38	81.47	77.71	74.13	70.71	67.42	64.25	61.20	58.24	55.38	
[BEL]	166.43	164.39	162.09	159.70	157.25	154.55	151.62	148.51	145.25	141.97	138.61	135.19	131.72	128.22	124.81	120.98	117.22	113.54	109.93	106.43	103.02	99.71	96.49	93.36	90.33	87.36	84.43	81.56	78.73	75.97	73.25	70.57	67.92	65.31	62.74	
[LUX]	185.29	181.94	178.56	175.23	171.96	168.47	164.79	160.97	157.04	153.20	149.27	145.33	141.41	137.52	133.79	129.62	125.55	121.58	117.70	113.95	110.32	106.81	103.40	100.09	96.88	93.79	90.75	87.75	84.80	81.91	79.05	76.19	73.35	70.53	67.74	
[DNK]	164.74	162.56	160.26	157.90	155.47	152.46	149.29	145.96	142.51	139.03	135.50	131.90	128.24	124.55	120.91	117.06	113.26	109.54	105.88	102.33	98.88	95.53	92.29	89.15	86.12	83.15	80.24	77.40	74.63	71.91	69.26	66.66	64.11	61.61	59.15	
[ESP]	172.77	170.35	167.86	165.30	162.69	159.84	156.87	153.80	150.63	147.46	144.23	140.96	137.67	134.38	131.14	127.36	123.63	119.95	116.34	112.82	109.42	106.08	102.82	99.61	96.48	93.45	90.48	87.57	84.73	81.96	79.17	76.44	73.76	71.13	68.55	
[FIN]	181.90	179.03	176.29	173.59	170.86	167.39	163.81	160.11	156.28	152.38	148.38	144.31	140.25	136.26	132.44	128.51	124.70	121.01	117.43	113.95	110.57	107.27	104.05	100.89	97.80	94.77	91.79	88.86	85.98	83.15	80.34	77.55	74.78	72.04	69.33	
[FRA]	165.17	163.06	160.78	158.37	155.84	153.17	150.27	147.16	143.88	140.50	137.02	133.44	129.81	126.13	122.48	118.41	114.41	110.49	106.66	102.95	99.33	95.83	92.43	89.15	85.98	82.92	79.93	77.01	74.15	71.36	68.62	65.95	63.33	60.77	58.26	
