	2016	2017	2018	2019	2020	2021	2022	2023	2024	2025	2026	2027	2028	2029	2030	2031	2032	2033	2034	2035	2036	2037	2038	2039	2040	2041	2042	2043	2044	2045	2046	2047	2048	2049	2050	
[AUT,CO]	0.3730	0.3161	0.2700	0.2330	0.2036	0.1806	0.1625	0.1485	0.1377	0.1294	0.1228	0.1177	0.1135	0.1101	0.1072	0.1046	0.1023	0.1001	0.0981	0.0961	0.0941	0.0921	0.0902	0.0882	0.0862	0.0842	0.0822	0.0801	0.0780	0.0758	0.0736	0.0714	0.0692	0.0669	0.0647	
[AUT,FC]	2.502	2.495	2.487	2.478	2.468	2.457	2.444	2.429	2.412	2.395	2.374	2.352	2.328	2.301	2.273	2.244	2.213	2.180	2.147	2.113	2.077	2.041	2.004	1.966	1.928	1.889	1.848	1.807	1.765	1.722	1.678	1.634	1.590	1.545	1.500	
[AUT,NOX]	0.4915	0.4561	0.4233	0.3926	0.3608	0.3303	0.3009	0.2730	0.2473	0.2236	0.2019	0.1822	0.1643	0.1481	0.1337	0.1208	0.1095	0.0995	0.0907	0.0831	0.0765	0.0709	0.0660	0.0617	0.0581	0.0550	0.0522	0.0498	0.0476	0.0457	0.0439	0.0423	0.0407	0.0392	0.0378	
[AUT,PM]	0.0105	0.0095	0.0086	0.0077	0.0069	0.0062	0.0056	0.0050	0.0044	0.0040	0.0036	0.0032	0.0029	0.0026	0.0024	0.0022	0.0021	0.0020	0.0019	0.0018	0.0017	0.0016	0.0016	0.0016	0.0015	0.0015	0.0014	0.0014	0.0014	0.0013	0.0013	0.0013	0.0013	0.0012	0.0012	
[AUT,VOC]	0.0441	0.0354	0.0284	0.0227	0.0181	0.0146	0.0118	0.0096	0.0079	0.0066	0.0056	0.0049	0.0043	0.0038	0.0035	0.0032	0.0030	0.0029	0.0027	0.0026	0.0025	0.0024	0.0024	0.0023	0.0022	0.0022	0.0021	0.0020	0.0020	0.0019	0.0018	0.0018	0.0017	0.0016	0.0016	
[ESO,CO]	0.3804	0.3514	0.3249	0.3013	0.2803	0.2621	0.2461	0.2322	0.2201	0.2097	0.2005	0.1926	0.1856	0.1796	0.1742	0.1694	0.1650	0.1609	0.1571	0.1534	0.1500	0.1466	0.1434	0.1401	0.1369	0.1338	0.1306	0.1275	0.1243	0.1211	0.1179	0.1146	0.1113	0.1079	0.1045	
[ESO,FC]	2.766	2.758	2.748	2.739	2.729	2.719	2.708	2.696	2.684	2.671	2.657	2.640	2.623	2.603	2.582	2.559	2.532	2.504	2.473	2.441	2.407	2.372	2.335	2.297	2.259	2.219	2.179	2.138	2.096	2.054	2.010	1.966	1.920	1.874	1.827	
[ESO,NOX]	0.3802	0.3546	0.3304	0.3078	0.2851	0.2639	0.2434	0.2239	0.2056	0.1883	0.1718	0.1564	0.1419	0.1285	0.1162	0.1049	0.0947	0.0856	0.0776	0.0705	0.0643	0.0589	0.0542	0.0501	0.0466	0.0436	0.0411	0.0388	0.0369	0.0352	0.0338	0.0325	0.0314	0.0304	0.0294	
[ESO,PM]	0.0142	0.0130	0.0117	0.0106	0.0095	0.0085	0.0076	0.0068	0.0061	0.0054	0.0048	0.0043	0.0039	0.0035	0.0031	0.0029	0.0026	0.0024	0.0022	0.0021	0.0020	0.0019	0.0018	0.0017	0.0016	0.0016	0.0015	0.0015	0.0015	0.0014	0.0014	0.0014	0.0013	0.0013	0.0013	
[ESO,VOC]	0.0410	0.0361	0.0317	0.0278	0.0243	0.0212	0.0186	0.0162	0.0142	0.0125	0.0111	0.0098	0.0088	0.0079	0.0072	0.0065	0.0060	0.0056	0.0052	0.0049	0.0047	0.0044	0.0042	0.0041	0.0039	0.0038	0.0037	0.0035	0.0034	0.0033	0.0032	0.0031	0.0030	0.0029	0.0028	
[LAT,CO]	0.4780	0.4231	0.3755	0.3347	0.3002	0.2720	0.2487	0.2297	0.2143	0.2020	0.1921	0.1841	0.1777	0.1724	0.1681	0.1644	0.1611	0.1581	0.1553	0.1526	0.1500	0.1473	0.1447	0.1421	0.1395	0.1369	0.1343	0.1316	0.1290	0.1263	0.1235	0.1207	0.1178	0.1149	0.1119	
[LAT,FC]	2.780	2.760	2.744	2.730	2.717	2.705	2.693	2.681	2.669	2.657	2.644	2.630	2.614	2.597	2.578	2.557	2.533	2.507	2.478	2.447	2.414	2.380	2.344	2.308	2.270	2.233	2.195	2.156	2.117	2.078	2.038	1.997	1.954	1.910	1.866	
[LAT,NOX]	0.4282	0.4049	0.3835	0.3635	0.3436	0.3248	0.3063	0.2882	0.2703	0.2528	0.2356	0.2184	0.2015	0.1848	0.1686	0.1528	0.1378	0.1236	0.1104	0.0984	0.0874	0.0778	0.0695	0.0623	0.0563	0.0514	0.0473	0.0440	0.0413	0.0392	0.0374	0.0359	0.0346	0.0335	0.0325	
