link	length	PCE	speed
1	0.0160	70.9858	50.0000
2	0.0147	0.0000	50.0000
3	0.0193	70.9858	50.0000
4	0.0322	146.1305	119.9992
5	0.1844	146.1305	119.9992
6	0.0193	39.0418	30.0000
7	0.1417	8.6563	20.0000
8	0.0123	0.0000	20.0000
9	0.0702	0.0000	20.0000
10	0.0111	442.5658	69.9976
11	0.0131	22.2019	50.0000
12	0.0269	53.7288	50.0000
13	0.0099	411.0389	69.9982
14	0.1847	2073.9668	119.6096
15	2.0865	2073.9668	118.0495
16	1.9259	1609.2215	119.2856
17	0.3410	1609.2215	119.8582
18	0.0956	1272.2211	119.7199
19	0.2320	1272.2211	115.6701
20	0.0741	93.0732	50.0000
21	0.0213	93.0732	49.9999
22	0.0199	0.0000	50.0000
23	0.0378	37.5115	50.0000
24	0.0359	91.2402	50.0000
25	0.0759	0.0000	120.0000
26	0.0301	0.0000	50.0000
27	0.2009	0.0000	50.0000
28	0.0338	0.0000	50.0000
29	0.0113	0.0000	20.0000
30	0.0097	0.0000	50.0000
31	0.0097	22.0874	50.0000
32	0.0124	0.0000	50.0000
33	0.0931	0.0000	50.0000
34	0.5638	0.0000	50.0000
35	0.0072	315.3818	69.9994
36	0.0185	315.3818	69.9901
37	0.0748	342.9376	89.9822
38	0.0126	342.9376	69.9862
39	0.0222	342.9376	69.9991
40	0.0487	342.9376	69.9991
41	0.1176	105.2505	69.9999
42	0.4672	71.0533	70.0000
43	0.0029	7.0415	30.0000
44	0.0034	43.4490	30.0000
45	0.0072	0.0000	30.0000
46	0.0192	438.3888	69.9631
47	0.1674	438.3888	89.9525
48	0.0090	0.0000	50.0000
49	0.0192	94.8321	50.0000
50	0.0162	94.8321	50.0000
51	0.1044	540.1739	49.9962
52	0.0298	535.6272	49.9963
53	0.0169	4.5467	50.0000
54	0.0411	0.0000	30.0000
55	0.0186	1.2667	30.0000
56	0.1856	4.5467	30.0000
57	0.1883	2.8915	30.0000
58	0.0100	38.6839	50.0000
59	0.0273	326.2984	49.9919
60	0.0308	364.9823	49.9873
61	0.0131	366.1397	49.9872
62	0.0665	635.8779	49.8835
63	0.0158	431.5374	49.9985
64	0.0154	635.8779	49.8835
65	0.0163	479.2798	49.9976
66	0.0138	173.7666	50.0000
67	0.0159	467.3123	49.9979
68	0.0071	140.0891	50.0000
